"","iso2c","country","year","FM.AST.GOVT.ZG.M2","FM.AST.PRVT.ZG.M2","FM.LBC.MQMY.CN","FM.LBC.XMQM.CN","FM.LBL.MQMY.CN","FM.LBL.MQMY.GD.ZS","FM.LBL.MQMY.IR.ZS","FM.LBL.XMQM.CN","iso3c","region","capital","longitude","latitude","income","lending"
"16","","Sub-Saharan Africa excluding South Africa",2006,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"17","","Sub-Saharan Africa excluding South Africa",2007,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"18","","Sub-Saharan Africa excluding South Africa",2008,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"19","","Sub-Saharan Africa excluding South Africa",2009,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"20","","Sub-Saharan Africa excluding South Africa",2010,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"21","","Sub-Saharan Africa excluding South Africa",2011,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"22","","Sub-Saharan Africa excluding South Africa and Nigeria",2005,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"23","","Sub-Saharan Africa excluding South Africa and Nigeria",2006,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"24","","Sub-Saharan Africa excluding South Africa and Nigeria",2007,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"25","","Sub-Saharan Africa excluding South Africa and Nigeria",2008,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"26","","Sub-Saharan Africa excluding South Africa and Nigeria",2009,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"27","","Sub-Saharan Africa excluding South Africa and Nigeria",2010,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"28","","Sub-Saharan Africa excluding South Africa and Nigeria",2011,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"29","1A","Arab World",2005,NA,NA,NA,NA,NA,55.5283500950431,NA,NA,"ARB","Aggregates","","","","Aggregates","Aggregates"
"30","1A","Arab World",2009,NA,NA,NA,NA,NA,71.9221973377589,NA,NA,"ARB","Aggregates","","","","Aggregates","Aggregates"
"31","1A","Arab World",2006,NA,NA,NA,NA,NA,56.0732479485106,NA,NA,"ARB","Aggregates","","","","Aggregates","Aggregates"
"32","1A","Arab World",2010,NA,NA,NA,NA,NA,66.4892724483314,NA,NA,"ARB","Aggregates","","","","Aggregates","Aggregates"
"33","1A","Arab World",2008,NA,NA,NA,NA,NA,56.8740408729819,NA,NA,"ARB","Aggregates","","","","Aggregates","Aggregates"
"34","1A","Arab World",2011,NA,NA,NA,NA,NA,61.8080944936096,NA,NA,"ARB","Aggregates","","","","Aggregates","Aggregates"
"35","1A","Arab World",2007,NA,NA,NA,NA,NA,60.3283390609642,NA,NA,"ARB","Aggregates","","","","Aggregates","Aggregates"
"36","1W","World",2005,NA,NA,NA,NA,NA,107.084518631142,NA,NA,"WLD","Aggregates","","","","Aggregates","Aggregates"
"37","1W","World",2010,NA,NA,NA,NA,NA,122.92791340697,NA,NA,"WLD","Aggregates","","","","Aggregates","Aggregates"
"38","1W","World",2011,NA,NA,NA,NA,NA,123.988170819037,NA,NA,"WLD","Aggregates","","","","Aggregates","Aggregates"
"39","1W","World",2009,NA,NA,NA,NA,NA,127.111344141328,NA,NA,"WLD","Aggregates","","","","Aggregates","Aggregates"
"40","1W","World",2006,NA,NA,NA,NA,NA,108.84083088954,NA,NA,"WLD","Aggregates","","","","Aggregates","Aggregates"
"41","1W","World",2007,NA,NA,NA,NA,NA,111.533570320905,NA,NA,"WLD","Aggregates","","","","Aggregates","Aggregates"
"42","1W","World",2008,NA,NA,NA,NA,NA,116.086084124769,NA,NA,"WLD","Aggregates","","","","Aggregates","Aggregates"
"43","4E","East Asia & Pacific (developing only)",2010,NA,NA,NA,NA,NA,158.267265684726,NA,NA,"EAP","Aggregates","","","","Aggregates","Aggregates"
"44","4E","East Asia & Pacific (developing only)",2005,NA,NA,NA,NA,NA,133.245931795702,NA,NA,"EAP","Aggregates","","","","Aggregates","Aggregates"
"45","4E","East Asia & Pacific (developing only)",2011,NA,NA,NA,NA,NA,159.062793154823,NA,NA,"EAP","Aggregates","","","","Aggregates","Aggregates"
"46","4E","East Asia & Pacific (developing only)",2008,NA,NA,NA,NA,NA,133.808539384228,NA,NA,"EAP","Aggregates","","","","Aggregates","Aggregates"
"47","4E","East Asia & Pacific (developing only)",2009,NA,NA,NA,NA,NA,157.984532525233,NA,NA,"EAP","Aggregates","","","","Aggregates","Aggregates"
"48","4E","East Asia & Pacific (developing only)",2006,NA,NA,NA,NA,NA,138.134042765481,NA,NA,"EAP","Aggregates","","","","Aggregates","Aggregates"
"49","4E","East Asia & Pacific (developing only)",2007,NA,NA,NA,NA,NA,133.456636766641,NA,NA,"EAP","Aggregates","","","","Aggregates","Aggregates"
"50","7E","Europe & Central Asia (developing only)",2005,NA,NA,NA,NA,NA,39.5349988921934,NA,NA,"ECA","Aggregates","","","","Aggregates","Aggregates"
"51","7E","Europe & Central Asia (developing only)",2008,NA,NA,NA,NA,NA,45.847299887798,NA,NA,"ECA","Aggregates","","","","Aggregates","Aggregates"
"52","7E","Europe & Central Asia (developing only)",2009,NA,NA,NA,NA,NA,50.2825189182682,NA,NA,"ECA","Aggregates","","","","Aggregates","Aggregates"
"53","7E","Europe & Central Asia (developing only)",2006,NA,NA,NA,NA,NA,41.6842628254735,NA,NA,"ECA","Aggregates","","","","Aggregates","Aggregates"
"54","7E","Europe & Central Asia (developing only)",2007,NA,NA,NA,NA,NA,44.3136031410608,NA,NA,"ECA","Aggregates","","","","Aggregates","Aggregates"
"55","7E","Europe & Central Asia (developing only)",2011,NA,NA,NA,NA,NA,50.0533739767456,NA,NA,"ECA","Aggregates","","","","Aggregates","Aggregates"
"56","7E","Europe & Central Asia (developing only)",2010,NA,NA,NA,NA,NA,51.0870587331563,NA,NA,"ECA","Aggregates","","","","Aggregates","Aggregates"
"57","8S","South Asia",2009,NA,NA,NA,NA,NA,71.8786142338199,NA,NA,"SAS","Aggregates","","","","Aggregates","Aggregates"
"58","8S","South Asia",2008,NA,NA,NA,NA,NA,69.8999559021292,NA,NA,"SAS","Aggregates","","","","Aggregates","Aggregates"
"59","8S","South Asia",2006,NA,NA,NA,NA,NA,63.3385268519577,NA,NA,"SAS","Aggregates","","","","Aggregates","Aggregates"
"60","8S","South Asia",2007,NA,NA,NA,NA,NA,66.9656433444057,NA,NA,"SAS","Aggregates","","","","Aggregates","Aggregates"
"61","8S","South Asia",2010,NA,NA,NA,NA,NA,71.4737252314059,NA,NA,"SAS","Aggregates","","","","Aggregates","Aggregates"
"62","8S","South Asia",2011,NA,NA,NA,NA,NA,71.1307043588153,NA,NA,"SAS","Aggregates","","","","Aggregates","Aggregates"
"63","8S","South Asia",2005,NA,NA,NA,NA,NA,61.6375479209746,NA,NA,"SAS","Aggregates","","","","Aggregates","Aggregates"
"64","AD","Andorra",2010,NA,NA,NA,NA,NA,NA,NA,NA,"AND","Europe & Central Asia (all income levels)","Andorra la Vella","1.5218","42.5075","High income: nonOECD","Not classified"
"65","AD","Andorra",2005,NA,NA,NA,NA,NA,NA,NA,NA,"AND","Europe & Central Asia (all income levels)","Andorra la Vella","1.5218","42.5075","High income: nonOECD","Not classified"
"66","AD","Andorra",2006,NA,NA,NA,NA,NA,NA,NA,NA,"AND","Europe & Central Asia (all income levels)","Andorra la Vella","1.5218","42.5075","High income: nonOECD","Not classified"
"67","AD","Andorra",2007,NA,NA,NA,NA,NA,NA,NA,NA,"AND","Europe & Central Asia (all income levels)","Andorra la Vella","1.5218","42.5075","High income: nonOECD","Not classified"
"68","AD","Andorra",2008,NA,NA,NA,NA,NA,NA,NA,NA,"AND","Europe & Central Asia (all income levels)","Andorra la Vella","1.5218","42.5075","High income: nonOECD","Not classified"
"69","AD","Andorra",2009,NA,NA,NA,NA,NA,NA,NA,NA,"AND","Europe & Central Asia (all income levels)","Andorra la Vella","1.5218","42.5075","High income: nonOECD","Not classified"
"70","AD","Andorra",2011,NA,NA,NA,NA,NA,NA,NA,NA,"AND","Europe & Central Asia (all income levels)","Andorra la Vella","1.5218","42.5075","High income: nonOECD","Not classified"
"71","AE","United Arab Emirates",2008,NA,NA,NA,NA,6.7431e+11,58.2013888373411,5.79314666453277,NA,"ARE","Middle East & North Africa (all income levels)","Abu Dhabi","54.3705","24.4764","High income: nonOECD","Not classified"
"72","AE","United Arab Emirates",2009,NA,NA,NA,NA,7.40618e+11,79.1456749425283,7.72541932946028,NA,"ARE","Middle East & North Africa (all income levels)","Abu Dhabi","54.3705","24.4764","High income: nonOECD","Not classified"
"73","AE","United Arab Emirates",2007,NA,NA,NA,NA,5.65701e+11,59.7236900032411,1.99429697642266,NA,"ARE","Middle East & North Africa (all income levels)","Abu Dhabi","54.3705","24.4764","High income: nonOECD","Not classified"
"74","AE","United Arab Emirates",2010,NA,NA,NA,NA,7.86388e+11,74.4998420738405,6.53124647431298,NA,"ARE","Middle East & North Africa (all income levels)","Abu Dhabi","54.3705","24.4764","High income: nonOECD","Not classified"
"75","AE","United Arab Emirates",2011,NA,NA,NA,NA,8.25758e+11,64.5015145504087,6.0330859142818,NA,"ARE","Middle East & North Africa (all income levels)","Abu Dhabi","54.3705","24.4764","High income: nonOECD","Not classified"
"76","AE","United Arab Emirates",2005,NA,NA,NA,NA,3.24064e+11,48.8551459636131,4.19987939827783,NA,"ARE","Middle East & North Africa (all income levels)","Abu Dhabi","54.3705","24.4764","High income: nonOECD","Not classified"
"77","AE","United Arab Emirates",2006,NA,NA,NA,NA,3.99294e+11,48.9520451547413,3.93683745217316,NA,"ARE","Middle East & North Africa (all income levels)","Abu Dhabi","54.3705","24.4764","High income: nonOECD","Not classified"
"78","AF","Afghanistan",2009,NA,NA,NA,NA,202231264209.68,32.8786891215286,0.962412744524362,NA,"AFG","South Asia","Kabul","69.1761","34.5228","Low income","IDA"
"79","AF","Afghanistan",2008,NA,NA,NA,NA,152002075158.01,29.2769925699913,0.980674844487893,NA,"AFG","South Asia","Kabul","69.1761","34.5228","Low income","IDA"
"80","AF","Afghanistan",2005,NA,NA,NA,NA,NA,NA,NA,NA,"AFG","South Asia","Kabul","69.1761","34.5228","Low income","IDA"
"81","AF","Afghanistan",2006,NA,NA,NA,NA,81247948057,23.0616540164493,NA,NA,"AFG","South Asia","Kabul","69.1761","34.5228","Low income","IDA"
"82","AF","Afghanistan",2007,NA,NA,NA,NA,115693148892.644,23.5914200660621,NA,NA,"AFG","South Asia","Kabul","69.1761","34.5228","Low income","IDA"
"83","AF","Afghanistan",2010,NA,NA,NA,NA,256726781225.915,35.1728372679027,1.08580807538847,NA,"AFG","South Asia","Kabul","69.1761","34.5228","Low income","IDA"
"84","AF","Afghanistan",2011,NA,NA,NA,NA,311433123272.22,36.3686454163409,1.02435003966734,NA,"AFG","South Asia","Kabul","69.1761","34.5228","Low income","IDA"
"85","AG","Antigua and Barbuda",2008,NA,NA,NA,NA,3338058487,91.7553184991754,8.95736517731929,NA,"ATG","Latin America & Caribbean (all income levels)","Saint John's","-61.8456","17.1175","Upper middle income","IBRD"
"86","AG","Antigua and Barbuda",2006,NA,NA,NA,NA,2901541458,94.1499648431857,7.53435785640887,NA,"ATG","Latin America & Caribbean (all income levels)","Saint John's","-61.8456","17.1175","Upper middle income","IBRD"
"87","AG","Antigua and Barbuda",2007,NA,NA,NA,NA,3231331560,92.8276805515656,8.31977308487244,NA,"ATG","Latin America & Caribbean (all income levels)","Saint John's","-61.8456","17.1175","Upper middle income","IBRD"
"88","AG","Antigua and Barbuda",2010,NA,NA,NA,NA,3018561720.1571,98.4527632145173,8.1843672373052,NA,"ATG","Latin America & Caribbean (all income levels)","Saint John's","-61.8456","17.1175","Upper middle income","IBRD"
"89","AG","Antigua and Barbuda",2009,NA,NA,NA,NA,3011163873,92.4520685600246,8.72237175233711,NA,"ATG","Latin America & Caribbean (all income levels)","Saint John's","-61.8456","17.1175","Upper middle income","IBRD"
"90","AG","Antigua and Barbuda",2005,NA,NA,NA,NA,2600161012,96.1128249033521,7.56375224415106,NA,"ATG","Latin America & Caribbean (all income levels)","Saint John's","-61.8456","17.1175","Upper middle income","IBRD"
"91","AG","Antigua and Barbuda",2011,NA,NA,NA,NA,3062796666.32461,100.650564125028,7.67146030441465,NA,"ATG","Latin America & Caribbean (all income levels)","Saint John's","-61.8456","17.1175","Upper middle income","IBRD"
"92","AL","Albania",2011,NA,NA,NA,NA,1070149540890.17,82.2796946827284,4.29171885855805,NA,"ALB","Europe & Central Asia (all income levels)","Tirane","19.8172","41.3317","Upper middle income","IBRD"
"93","AL","Albania",2007,NA,NA,NA,NA,757605287857.2,78.2916970010118,3.87523103592495,NA,"ALB","Europe & Central Asia (all income levels)","Tirane","19.8172","41.3317","Upper middle income","IBRD"
"94","AL","Albania",2005,NA,NA,NA,NA,574314175624.68,68.6502369008196,3.99451731704975,NA,"ALB","Europe & Central Asia (all income levels)","Tirane","19.8172","41.3317","Upper middle income","IBRD"
"95","AL","Albania",2006,NA,NA,NA,NA,666467427984.979,74.3878873898159,3.74752353058377,NA,"ALB","Europe & Central Asia (all income levels)","Tirane","19.8172","41.3317","Upper middle income","IBRD"
"96","AL","Albania",2010,NA,NA,NA,NA,980283922352.601,79.0778207256338,3.71223396813605,NA,"ALB","Europe & Central Asia (all income levels)","Tirane","19.8172","41.3317","Upper middle income","IBRD"
"97","AL","Albania",2008,NA,NA,NA,NA,815704632038.633,75.4809659851355,4.11329332338471,NA,"ALB","Europe & Central Asia (all income levels)","Tirane","19.8172","41.3317","Upper middle income","IBRD"
"98","AL","Albania",2009,NA,NA,NA,NA,871469477578.721,76.1816333248166,3.87323813898723,NA,"ALB","Europe & Central Asia (all income levels)","Tirane","19.8172","41.3317","Upper middle income","IBRD"
"99","AM","Armenia",2006,NA,NA,NA,NA,485736892760.2,18.2869798220067,1.08919204375157,NA,"ARM","Europe & Central Asia (all income levels)","Yerevan","44.509","40.1596","Lower middle income","Blend"
"100","AM","Armenia",2007,NA,NA,NA,NA,691343266518.4,21.9523992829099,1.2181397892859,NA,"ARM","Europe & Central Asia (all income levels)","Yerevan","44.509","40.1596","Lower middle income","Blend"
"101","AM","Armenia",2010,NA,NA,NA,NA,911386033727.5,26.3390937683362,1.30723773114462,NA,"ARM","Europe & Central Asia (all income levels)","Yerevan","44.509","40.1596","Lower middle income","Blend"
"102","AM","Armenia",2008,NA,NA,NA,NA,707787799577.1,19.8358366931835,1.64434318721606,NA,"ARM","Europe & Central Asia (all income levels)","Yerevan","44.509","40.1596","Lower middle income","Blend"
"103","AM","Armenia",2009,NA,NA,NA,NA,814990216549.8,25.9414625160401,1.11967214390758,NA,"ARM","Europe & Central Asia (all income levels)","Yerevan","44.509","40.1596","Lower middle income","Blend"
"104","AM","Armenia",2005,NA,NA,NA,NA,365553511487.9,16.29839156809,1.1930032981548,NA,"ARM","Europe & Central Asia (all income levels)","Yerevan","44.509","40.1596","Lower middle income","Blend"
"105","AM","Armenia",2011,NA,NA,NA,NA,1126978197618.9,29.8304506454222,1.56561456704848,NA,"ARM","Europe & Central Asia (all income levels)","Yerevan","44.509","40.1596","Lower middle income","Blend"
"106","AO","Angola",2008,NA,32.8386845953836,564243853163.85,431396256280.15,2094018359082.65,33.1533235656137,1.561765670596,685442976271.95,"AGO","Sub-Saharan Africa (all income levels)","Luanda","13.242","-8.81155","Lower middle income","IDA"
"107","AO","Angola",2005,NA,22.3967579437214,147540101515.957,2516886362.04297,428566980082.89,17.4155814208751,1.53809585240617,56242121476.21,"AGO","Sub-Saharan Africa (all income levels)","Luanda","13.242","-8.81155","Lower middle income","IDA"
"108","AO","Angola",2006,NA,35.648127775604,224336781115.46,44548665217.54,685068282991.18,20.3977936304804,0.991341681243609,100790786693.75,"AGO","Sub-Saharan Africa (all income levels)","Luanda","13.242","-8.81155","Lower middle income","IDA"
"109","AO","Angola",2007,NA,36.5493089110628,237319717627.95,153255933298.05,1023638868705.59,22.0764016248441,1.19185292966956,254046719991.8,"AGO","Sub-Saharan Africa (all income levels)","Luanda","13.242","-8.81155","Lower middle income","IDA"
"110","AO","Angola",2009,48.2328818565289,33.3490845380437,886695495822.07,-81325549702.0701,2543723059447.95,42.4755563040859,2.34672089867373,604117426569.88,"AGO","Sub-Saharan Africa (all income levels)","Luanda","13.242","-8.81155","Lower middle income","IDA"
"111","AO","Angola",2010,-12.6442039460962,13.7283810144965,-1448556566450.12,1967681850050.12,2678230070993.43,35.3349622476572,1.47553607093435,2571799276620,"AGO","Sub-Saharan Africa (all income levels)","Luanda","13.242","-8.81155","Lower middle income","IDA"
"112","AO","Angola",2011,-91.6267193916093,56.0074788694461,306463037520,938491502780,3673111017825.33,37.5569975684632,1.35838630034234,3510290779400,"AGO","Sub-Saharan Africa (all income levels)","Luanda","13.242","-8.81155","Lower middle income","IDA"
"113","AR","Argentina",2006,NA,NA,NA,NA,200808370000,24.8343069349666,2.05120155386489,NA,"ARG","Latin America & Caribbean (all income levels)","Buenos Aires","-58.4173","-34.6118","Upper middle income","IBRD"
"114","AR","Argentina",2008,NA,NA,NA,NA,270094095000,21.0369121703521,1.84132690654554,NA,"ARG","Latin America & Caribbean (all income levels)","Buenos Aires","-58.4173","-34.6118","Upper middle income","IBRD"
"115","AR","Argentina",2009,NA,NA,NA,NA,316009865000,22.3878181850581,1.76509816821567,NA,"ARG","Latin America & Caribbean (all income levels)","Buenos Aires","-58.4173","-34.6118","Upper middle income","IBRD"
"116","AR","Argentina",2007,NA,NA,NA,NA,249937394000,24.3286212904726,1.7384044382805,NA,"ARG","Latin America & Caribbean (all income levels)","Buenos Aires","-58.4173","-34.6118","Upper middle income","IBRD"
"117","AR","Argentina",2005,NA,NA,NA,NA,166974724000,25.7972945742665,2.04774126494224,NA,"ARG","Latin America & Caribbean (all income levels)","Buenos Aires","-58.4173","-34.6118","Upper middle income","IBRD"
"118","AR","Argentina",2010,NA,NA,NA,NA,420633113000,23.2357742089149,2.05933488708589,NA,"ARG","Latin America & Caribbean (all income levels)","Buenos Aires","-58.4173","-34.6118","Upper middle income","IBRD"
"119","AR","Argentina",2011,NA,NA,NA,NA,530130908000,23.0166831407152,2.77462605513728,NA,"ARG","Latin America & Caribbean (all income levels)","Buenos Aires","-58.4173","-34.6118","Upper middle income","IBRD"
"120","AS","American Samoa",2007,NA,NA,NA,NA,NA,NA,NA,NA,"ASM","East Asia & Pacific (all income levels)","Pago Pago","-170.691","-14.2846","Upper middle income","Not classified"
"121","AS","American Samoa",2006,NA,NA,NA,NA,NA,NA,NA,NA,"ASM","East Asia & Pacific (all income levels)","Pago Pago","-170.691","-14.2846","Upper middle income","Not classified"
"122","AS","American Samoa",2011,NA,NA,NA,NA,NA,NA,NA,NA,"ASM","East Asia & Pacific (all income levels)","Pago Pago","-170.691","-14.2846","Upper middle income","Not classified"
"123","AS","American Samoa",2008,NA,NA,NA,NA,NA,NA,NA,NA,"ASM","East Asia & Pacific (all income levels)","Pago Pago","-170.691","-14.2846","Upper middle income","Not classified"
"124","AS","American Samoa",2009,NA,NA,NA,NA,NA,NA,NA,NA,"ASM","East Asia & Pacific (all income levels)","Pago Pago","-170.691","-14.2846","Upper middle income","Not classified"
"125","AS","American Samoa",2005,NA,NA,NA,NA,NA,NA,NA,NA,"ASM","East Asia & Pacific (all income levels)","Pago Pago","-170.691","-14.2846","Upper middle income","Not classified"
"126","AS","American Samoa",2010,NA,NA,NA,NA,NA,NA,NA,NA,"ASM","East Asia & Pacific (all income levels)","Pago Pago","-170.691","-14.2846","Upper middle income","Not classified"
"127","AT","Austria",2006,NA,NA,NA,NA,4.44171e+11,171.471768987724,43.1566977466826,NA,"AUT","Europe & Central Asia (all income levels)","Vienna","16.3798","48.2201","High income: OECD","Not classified"
"128","AT","Austria",2005,NA,NA,NA,NA,4.08791e+11,166.687860575942,42.9803480245861,NA,"AUT","Europe & Central Asia (all income levels)","Vienna","16.3798","48.2201","High income: OECD","Not classified"
"129","AT","Austria",2011,NA,NA,NA,NA,5.59765e+11,187.061954248215,31.4162016018751,NA,"AUT","Europe & Central Asia (all income levels)","Vienna","16.3798","48.2201","High income: OECD","Not classified"
"130","AT","Austria",2007,NA,NA,NA,NA,4.96328e+11,181.128530871489,37.3370217279215,NA,"AUT","Europe & Central Asia (all income levels)","Vienna","16.3798","48.2201","High income: OECD","Not classified"
"131","AT","Austria",2010,NA,NA,NA,NA,5.52039e+11,193.585646307386,32.8723440805674,NA,"AUT","Europe & Central Asia (all income levels)","Vienna","16.3798","48.2201","High income: OECD","Not classified"
"132","AT","Austria",2008,NA,NA,NA,NA,5.57831e+11,197.291732579446,48.8085334040089,NA,"AUT","Europe & Central Asia (all income levels)","Vienna","16.3798","48.2201","High income: OECD","Not classified"
"133","AT","Austria",2009,NA,NA,NA,NA,5.57648e+11,201.879570890355,43.2686495521472,NA,"AUT","Europe & Central Asia (all income levels)","Vienna","16.3798","48.2201","High income: OECD","Not classified"
"134","AU","Australia",2011,NA,NA,NA,NA,1414711935846.84,100.571628749497,29.8586281012055,NA,"AUS","East Asia & Pacific (all income levels)","Canberra","149.129","-35.282","High income: OECD","Not classified"
"135","AU","Australia",2007,NA,NA,NA,NA,985258825231.474,90.5939309029404,28.7477236408768,NA,"AUS","East Asia & Pacific (all income levels)","Canberra","149.129","-35.282","High income: OECD","Not classified"
"136","AU","Australia",2008,NA,NA,NA,NA,1152799564528.8,97.7817217773752,31.3481823982988,NA,"AUS","East Asia & Pacific (all income levels)","Canberra","149.129","-35.282","High income: OECD","Not classified"
"137","AU","Australia",2009,NA,NA,NA,NA,1189775859355.71,94.5276350256472,20.9858986822941,NA,"AUS","East Asia & Pacific (all income levels)","Canberra","149.129","-35.282","High income: OECD","Not classified"
"138","AU","Australia",2010,NA,NA,NA,NA,1310309396138.14,101.078850359797,27.3047664782839,NA,"AUS","East Asia & Pacific (all income levels)","Canberra","149.129","-35.282","High income: OECD","Not classified"
"139","AU","Australia",2005,NA,NA,NA,NA,724227895075.61,78.4892214320436,12.5863917563434,NA,"AUS","East Asia & Pacific (all income levels)","Canberra","149.129","-35.282","High income: OECD","Not classified"
"140","AU","Australia",2006,NA,NA,NA,NA,833319752996.69,83.4728775169175,11.3279535948509,NA,"AUS","East Asia & Pacific (all income levels)","Canberra","149.129","-35.282","High income: OECD","Not classified"
"141","AW","Aruba",2007,NA,NA,NA,NA,2566414000,54.6455955217429,3.14793827561109,NA,"ABW","Latin America & Caribbean (all income levels)","Oranjestad","-70.0167","12.5167","High income: nonOECD","Not classified"
"142","AW","Aruba",2009,NA,NA,NA,NA,3163509000,70.7231242832136,2.57263516703391,NA,"ABW","Latin America & Caribbean (all income levels)","Oranjestad","-70.0167","12.5167","High income: nonOECD","Not classified"
"143","AW","Aruba",2006,NA,NA,NA,NA,2492307000,57.5000922841244,3.46882500027307,NA,"ABW","Latin America & Caribbean (all income levels)","Oranjestad","-70.0167","12.5167","High income: nonOECD","Not classified"
"144","AW","Aruba",2008,NA,NA,NA,NA,2991506000,59.8587324741226,2.41551589420361,NA,"ABW","Latin America & Caribbean (all income levels)","Oranjestad","-70.0167","12.5167","High income: nonOECD","Not classified"
"145","AW","Aruba",2010,NA,NA,NA,NA,3154722000,71.4192054224518,2.48677928761284,NA,"ABW","Latin America & Caribbean (all income levels)","Oranjestad","-70.0167","12.5167","High income: nonOECD","Not classified"
"146","AW","Aruba",2005,NA,NA,NA,NA,2421657000,58.0385140802876,4.16510219586566,NA,"ABW","Latin America & Caribbean (all income levels)","Oranjestad","-70.0167","12.5167","High income: nonOECD","Not classified"
"147","AW","Aruba",2011,NA,NA,NA,NA,3158590000,68.2762705379589,2.55818623750049,NA,"ABW","Latin America & Caribbean (all income levels)","Oranjestad","-70.0167","12.5167","High income: nonOECD","Not classified"
"148","AZ","Azerbaijan",2006,NA,NA,NA,NA,3434966766.91,18.3235070033281,1.53764576103468,NA,"AZE","Europe & Central Asia (all income levels)","Baku","49.8932","40.3834","Upper middle income","IBRD"
"149","AZ","Azerbaijan",2007,NA,NA,NA,NA,5897260600.99,20.7939232417976,1.60830290958569,NA,"AZE","Europe & Central Asia (all income levels)","Baku","49.8932","40.3834","Upper middle income","IBRD"
"150","AZ","Azerbaijan",2005,NA,NA,NA,NA,1838722835.5341,14.6833526495037,1.65135418990569,NA,"AZE","Europe & Central Asia (all income levels)","Baku","49.8932","40.3834","Upper middle income","IBRD"
"151","AZ","Azerbaijan",2011,NA,NA,NA,NA,13903175829.2,26.6947809784571,1.71362356520659,NA,"AZE","Europe & Central Asia (all income levels)","Baku","49.8932","40.3834","Upper middle income","IBRD"
"152","AZ","Azerbaijan",2008,NA,NA,NA,NA,8494227333.49,21.1629793146757,1.59861735817944,NA,"AZE","Europe & Central Asia (all income levels)","Baku","49.8932","40.3834","Upper middle income","IBRD"
"153","AZ","Azerbaijan",2009,NA,NA,NA,NA,8469182891.98,23.7888372455655,1.96434091758654,NA,"AZE","Europe & Central Asia (all income levels)","Baku","49.8932","40.3834","Upper middle income","IBRD"
"154","AZ","Azerbaijan",2010,NA,NA,NA,NA,10527489350.26,24.790979277664,2.04633757146749,NA,"AZE","Europe & Central Asia (all income levels)","Baku","49.8932","40.3834","Upper middle income","IBRD"
